show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Title_1,Director_877,"Actor_2928, Actor_3375, Actor_2878, Actor_463",United States,"July 4, 2021",2016,R,154 min,Children & Family Movies,A movie in the Children & Family Movies genre from United States.
s2,Movie,Title_2,Director_1780,"Actor_938, Actor_2766, Actor_1391, Actor_162",France,"December 3, 2019",2006,TV-MA,142 min,Documentaries,A movie in the Documentaries genre from France.
s3,Movie,Title_3,Director_1426,"Actor_4817, Actor_183, Actor_2593, Actor_3095, Actor_4673",United Kingdom,"May 1, 2022",2020,TV-MA,144 min,Children & Family Movies,A movie in the Children & Family Movies genre from United Kingdom.
s4,TV Show,Title_4,Director_1030,"Actor_1366, Actor_2454, Actor_2977, Actor_3572",United States,"June 16, 2017",2008,TV-14,4 Seasons,Anime Series,A tv show in the Anime Series genre from United States.
s5,Movie,Title_5,Director_98,"Actor_4699, Actor_3294, Actor_1851, Actor_754",United States,"May 9, 2017",2008,PG-13,160 min,Horror Movies,A movie in the Horror Movies genre from United States.
s6,Movie,Title_6,Director_712,"Actor_2473, Actor_4135",Mexico,"July 7, 2019",2019,TV-MA,103 min,Anime Features,A movie in the Anime Features genre from Mexico.
s7,Movie,Title_7,Director_1280,"Actor_4486, Actor_1480, Actor_153, Actor_4229, Actor_1529",Italy,"July 9, 2019",2017,R,129 min,Thrillers,A movie in the Thrillers genre from Italy.
s8,Movie,Title_8,Director_1092,"Actor_4638, Actor_491, Actor_4279, Actor_1644, Actor_2985",South Korea,"May 21, 2021",2020,TV-MA,165 min,Horror Movies,A movie in the Horror Movies genre from South Korea.
s9,Movie,Title_9,Director_653,"Actor_1668, Actor_3379",India,"July 14, 2021",2015,TV-MA,155 min,Action & Adventure,A movie in the Action & Adventure genre from India.
s10,TV Show,Title_10,Director_308,"Actor_227, Actor_2012, Actor_2544",United States,"April 4, 2021",2018,TV-PG,1 Season,Romantic TV Shows,A tv show in the Romantic TV Shows genre from United States.
